Payment Method,Fuel Type,Charge Type,Allowance,Cap Period,Start Date,End Date,Cost Value
All,Gas,SC,WHD,July 2023 - September 2023,2023-07-01,2023-09-01,10.2986378209065
All,Gas,UR,WHD (unit rate),July 2023 - September 2023,2023-07-01,2023-09-01,0.0
All,Gas,SC,GGL,July 2023 - September 2023,2023-07-01,2023-09-01,0.44530000000000003
All,Electricity - Single-Rate ,UR,RO,October 2023 - December 2023,2023-10-01,2023-12-01,27.675689999999996
All,Electricity - Single-Rate ,UR,FiT,October 2023 - December 2023,2023-10-01,2023-12-01,7.033266728028733
All,Electricity - Single-Rate ,UR,ECO,October 2023 - December 2023,2023-10-01,2023-12-01,7.123270099736199
All,Electricity - Single-Rate ,SC,WHD,October 2023 - December 2023,2023-10-01,2023-12-01,10.2986378209065
All,Electricity - Single-Rate ,UR,WHD (unit rate),October 2023 - December 2023,2023-10-01,2023-12-01,0.0
All,Electricity - Single-Rate ,UR,AAHEDC,October 2023 - December 2023,2023-10-01,2023-12-01,0.42038
All,Electricity - Single-Rate ,UR,NCC,October 2023 - December 2023,2023-10-01,2023-12-01,0.0
All,Electricity - Single-Rate ,UR,nRAB,October 2023 - December 2023,2023-10-01,2023-12-01,0.0
All,Electricity - Multi-Register ,UR,RO,October 2023 - December 2023,2023-10-01,2023-12-01,27.675689999999996
All,Electricity - Multi-Register ,UR,FiT,October 2023 - December 2023,2023-10-01,2023-12-01,7.033266728028733
All,Electricity - Multi-Register ,UR,ECO,October 2023 - December 2023,2023-10-01,2023-12-01,7.123270099736199
All,Electricity - Multi-Register ,SC,WHD,October 2023 - December 2023,2023-10-01,2023-12-01,10.2986378209065
All,Electricity - Multi-Register ,UR,WHD (unit rate),October 2023 - December 2023,2023-10-01,2023-12-01,0.0
All,Electricity - Multi-Register ,UR,AAHEDC,October 2023 - December 2023,2023-10-01,2023-12-01,0.42038
All,Electricity - Multi-Register ,UR,NCC,October 2023 - December 2023,2023-10-01,2023-12-01,0.0
All,Electricity - Multi-Register ,UR,nRAB,October 2023 - December 2023,2023-10-01,2023-12-01,0.0
All,Gas,UR,ECO,October 2023 - December 2023,2023-10-01,2023-12-01,1.9338008914989997
All,Gas,SC,WHD,October 2023 - December 2023,2023-10-01,2023-12-01,10.2986378209065
All,Gas,UR,WHD (unit rate),October 2023 - December 2023,2023-10-01,2023-12-01,0.0
All,Gas,SC,GGL,October 2023 - December 2023,2023-10-01,2023-12-01,0.44530000000000003
All,Electricity - Single-Rate ,UR,RO,January 2024 - March 2024,2024-01-01,2024-03-01,27.675689999999996
All,Electricity - Single-Rate ,UR,FiT,January 2024 - March 2024,2024-01-01,2024-03-01,7.033266728028733
All,Electricity - Single-Rate ,UR,ECO,January 2024 - March 2024,2024-01-01,2024-03-01,7.123270099736199
All,Electricity - Single-Rate ,SC,WHD,January 2024 - March 2024,2024-01-01,2024-03-01,10.2986378209065
All,Electricity - Single-Rate ,UR,WHD (unit rate),January 2024 - March 2024,2024-01-01,2024-03-01,0.0
All,Electricity - Single-Rate ,UR,AAHEDC,January 2024 - March 2024,2024-01-01,2024-03-01,0.42038
All,Electricity - Single-Rate ,UR,NCC,January 2024 - March 2024,2024-01-01,2024-03-01,0.0
All,Electricity - Single-Rate ,UR,nRAB,January 2024 - March 2024,2024-01-01,2024-03-01,0.0
All,Electricity - Multi-Register ,UR,RO,January 2024 - March 2024,2024-01-01,2024-03-01,27.675689999999996
All,Electricity - Multi-Register ,UR,FiT,January 2024 - March 2024,2024-01-01,2024-03-01,7.033266728028733
All,Electricity - Multi-Register ,UR,ECO,January 2024 - March 2024,2024-01-01,2024-03-01,7.123270099736199
All,Electricity - Multi-Register ,SC,WHD,January 2024 - March 2024,2024-01-01,2024-03-01,10.2986378209065
All,Electricity - Multi-Register ,UR,WHD (unit rate),January 2024 - March 2024,2024-01-01,2024-03-01,0.0
All,Electricity - Multi-Register ,UR,AAHEDC,January 2024 - March 2024,2024-01-01,2024-03-01,0.42038
All,Electricity - Multi-Register ,UR,NCC,January 2024 - March 2024,2024-01-01,2024-03-01,0.0
All,Electricity - Multi-Register ,UR,nRAB,January 2024 - March 2024,2024-01-01,2024-03-01,0.0
All,Gas,UR,ECO,January 2024 - March 2024,2024-01-01,2024-03-01,1.9338008914989997
All,Gas,SC,WHD,January 2024 - March 2024,2024-01-01,2024-03-01,10.2986378209065
